 1000  5.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
  127  1.2612612612612613E-01  4.2793206830506235E-01  4.7919546322762424E-04  1.3670873713426647E-04  6.0540633150248122E-05  2.3074648504067168E-02
  128  1.2712712712712713E-01  4.4342914797012539E-01  4.6244854916259086E-04  1.3670877742345888E-04  6.1021119287486292E-05  2.2667856565890116E-02
  129  1.2812812812812813E-01  4.5935925894090442E-01  4.4641144213889935E-04  1.3670881949577683E-04  6.1501605721773528E-05  2.2271342875715105E-02
  130  1.2912912912912913E-01  4.7573097656798425E-01  4.3104886001387398E-04  1.3670886341527774E-04  6.1982092466203567E-05  2.1884770453289962E-02
  131  1.3013013013013013E-01  4.9255297734587590E-01  4.1632752882071123E-04  1.3670890924779486E-04  6.2462579534338635E-05  2.1507815861544929E-02
  132  1.3113113113113113E-01  5.0983403931121176E-01  4.0221605420559976E-04  1.3670895706097216E-04  6.2943066940222386E-05  2.1140168563545345E-02
  133  1.3213213213213213E-01  5.2758304243961413E-01  3.8868480199478848E-04  1.3670900692429968E-04  6.3423554698393090E-05  2.0781530314595017E-02
  134  1.3313313313313313E-01  5.4580896904126255E-01  3.7570578718031513E-04  1.3670905890914921E-04  6.3904042823897076E-05  2.0431614587320176E-02
  135  1.3413413413413413E-01  5.6452090415518526E-01  3.6325257067335137E-04  1.3670911308881044E-04  6.4384531332302437E-05  2.0090146027713061E-02
  136  1.3513513513513514E-01  5.8372803594229977E-01  3.5130016322885912E-04  1.3670916953852751E-04  6.4865020239712995E-05  1.9756859940251952E-02
  137  1.3613613613613614E-01  6.0343965607722791E-01  3.3982493599502506E-04  1.3670922833553595E-04  6.5345509562782530E-05  1.9431501800342004E-02
  138  1.3713713713713714E-01  6.2366516013891018E-01  3.2880453718622956E-04  1.3670928955910008E-04  6.5825999318729284E-05  1.9113826792439190E-02
  139  1.3813813813813814E-01  6.4441404800004463E-01  3.1821781441954535E-04  1.3670935329055080E-04  6.6306489525350722E-05  1.8803599372328969E-02
  140  1.3913913913913914E-01  6.6569592421537514E-01  3.0804474229233905E-04  1.3670941961332381E-04  6.6786980201038584E-05  1.8500592852132516E-02
  141  1.4014014014014014E-01  6.8752049840885426E-01  2.9826635481281297E-04  1.3670948861299824E-04  6.7267471364794199E-05  1.8204589006707225E-02
  142  1.4114114114114114E-01  7.0989758565970541E-01  2.8886468232658938E-04  1.3670956037733572E-04  6.7747963036244090E-05  1.7915377700195296E-02
  143  1.4214214214214214E-01  7.3283710688740968E-01  2.7982269261098587E-04  1.3670963499631990E-04  6.8228455235655857E-05  1.7632756531554998E-02
  144  1.4314314314314314E-01  7.5634908923564223E-01  2.7112423583471271E-04  1.3670971256219629E-04  6.8708947983954343E-05  1.7356530497984284E-02
  145  1.4414414414414414E-01  7.8044366645518330E-01  2.6275399310456806E-04  1.3670979316951270E-04  6.9189441302738100E-05  1.7086511675216152E-02
  146  1.4514514514514515E-01  8.0513107928582918E-01  2.5469742834252204E-04  1.3670987691515995E-04  6.9669935214296134E-05  1.6822518913729962E-02
